Lektion 1 H-O
de|fr
Mot à traduire|traduction|réponse
ich mache|je fais
so|ainsi
du machst|tu fais
da|là
Wo?|Où?
du wohnst|tu habites
Sie wohnen|Vous habitez
Deutschland|Allemagne
in Europa|en Europe
Amerika|Amérique
Südamerika|Amérique du Sud
Asien|Asie
Australien|Australie
nach Hause gehen|rentrer
dis Schule ist aus|L'école a terminé
jetzt|maintenant
schnell|vite
Tschüss|salut
was passt hier?|qu'est-ce qui est convenable?
wohnen|habiter
sein|être
lernen|apprendre
